v-sweep;V(/VD);
0;-1.08269e-27;
0.01;0.00116185;
0.02;0.00232603;
0.03;0.0034908;
0.04;0.00465675;
0.05;0.00582387;
0.06;0.00699217;
0.07;0.00816167;
0.08;0.00933235;
0.09;0.0105042;
0.1;0.0116773;
0.11;0.0128516;
0.12;0.0140271;
0.13;0.0152038;
0.14;0.0163817;
0.15;0.0175608;
0.16;0.0187412;
0.17;0.0199228;
0.18;0.0211056;
0.19;0.0222897;
0.2;0.023475;
0.21;0.0246616;
0.22;0.0258494;
0.23;0.0270384;
0.24;0.0282288;
0.25;0.0294204;
0.26;0.0306132;
0.27;0.0318074;
0.28;0.0330028;
0.29;0.0341995;
0.3;0.0353975;
0.31;0.0365968;
0.32;0.0377974;
0.33;0.0389993;
0.34;0.0402025;
0.35;0.041407;
0.36;0.0426129;
0.37;0.04382;
0.38;0.0450285;
0.39;0.0462384;
0.4;0.0474495;
0.41;0.0486621;
0.42;0.0498759;
0.43;0.0510912;
0.44;0.0523077;
0.45;0.0535257;
0.46;0.054745;
0.47;0.0559657;
0.48;0.0571878;
0.49;0.0584113;
0.5;0.0596361;
0.51;0.0608624;
0.52;0.06209;
0.53;0.0633191;
0.54;0.0645496;
0.55;0.0657815;
0.56;0.0670148;
0.57;0.0682496;
0.58;0.0694858;
0.59;0.0707235;
0.6;0.0719626;
0.61;0.0732031;
0.62;0.0744451;
0.63;0.0756886;
0.64;0.0769336;
0.65;0.07818;
0.66;0.0794279;
0.67;0.0806773;
0.68;0.0819282;
0.69;0.0831806;
0.7;0.0844346;
0.71;0.08569;
0.72;0.086947;
0.73;0.0882054;
0.74;0.0894655;
0.75;0.090727;
0.76;0.0919902;
0.77;0.0932548;
0.78;0.0945211;
0.79;0.0957889;
0.8;0.0970582;
0.81;0.0983292;
0.82;0.0996017;
0.83;0.100876;
0.84;0.102152;
0.85;0.103429;
0.86;0.104708;
0.87;0.105989;
0.88;0.107271;
0.89;0.108555;
0.9;0.10984;
0.91;0.111127;
0.92;0.112416;
0.93;0.113707;
0.94;0.114999;
0.95;0.116293;
0.96;0.117588;
0.97;0.118885;
0.98;0.120184;
0.99;0.121485;
1;0.122787;
1.01;0.124091;
1.02;0.125397;
1.03;0.126705;
1.04;0.128014;
1.05;0.129325;
1.06;0.130638;
1.07;0.131952;
1.08;0.133269;
1.09;0.134587;
1.1;0.135907;
1.11;0.137229;
1.12;0.138552;
1.13;0.139878;
1.14;0.141205;
1.15;0.142534;
1.16;0.143865;
1.17;0.145198;
1.18;0.146533;
1.19;0.147869;
1.2;0.149208;
1.21;0.150548;
1.22;0.15189;
1.23;0.153234;
1.24;0.15458;
1.25;0.155928;
1.26;0.157278;
1.27;0.15863;
1.28;0.159984;
1.29;0.16134;
1.3;0.162698;
1.31;0.164058;
1.32;0.16542;
1.33;0.166783;
1.34;0.168149;
1.35;0.169517;
1.36;0.170887;
1.37;0.172259;
1.38;0.173633;
1.39;0.175009;
1.4;0.176387;
1.41;0.177768;
1.42;0.17915;
1.43;0.180535;
1.44;0.181921;
1.45;0.18331;
1.46;0.184701;
1.47;0.186094;
1.48;0.187489;
1.49;0.188887;
1.5;0.190287;
1.51;0.191688;
1.52;0.193092;
1.53;0.194499;
1.54;0.195907;
1.55;0.197318;
1.56;0.198731;
1.57;0.200146;
1.58;0.201564;
1.59;0.202984;
1.6;0.204406;
1.61;0.205831;
1.62;0.207258;
1.63;0.208687;
1.64;0.210119;
1.65;0.211553;
1.66;0.212989;
1.67;0.214428;
1.68;0.215869;
1.69;0.217313;
1.7;0.218759;
1.71;0.220208;
1.72;0.221659;
1.73;0.223113;
1.74;0.224569;
1.75;0.226027;
1.76;0.227488;
1.77;0.228952;
1.78;0.230418;
1.79;0.231887;
1.8;0.233359;
1.81;0.234833;
1.82;0.23631;
1.83;0.237789;
1.84;0.239271;
1.85;0.240756;
1.86;0.242243;
1.87;0.243733;
1.88;0.245226;
1.89;0.246721;
1.9;0.24822;
1.91;0.249721;
1.92;0.251225;
1.93;0.252731;
1.94;0.254241;
1.95;0.255753;
1.96;0.257269;
1.97;0.258787;
1.98;0.260308;
1.99;0.261832;
2;0.263359;
2.01;0.264888;
2.02;0.266421;
2.03;0.267957;
2.04;0.269496;
2.05;0.271038;
2.06;0.272583;
2.07;0.274131;
2.08;0.275682;
2.09;0.277236;
2.1;0.278793;
2.11;0.280354;
2.12;0.281918;
2.13;0.283484;
2.14;0.285055;
2.15;0.286628;
2.16;0.288205;
2.17;0.289785;
2.18;0.291368;
2.19;0.292954;
2.2;0.294544;
2.21;0.296138;
2.22;0.297735;
2.23;0.299335;
2.24;0.300938;
2.25;0.302546;
2.26;0.304156;
2.27;0.30577;
2.28;0.307388;
2.29;0.309009;
2.3;0.310634;
2.31;0.312263;
2.32;0.313895;
2.33;0.315531;
2.34;0.317171;
2.35;0.318814;
2.36;0.320462;
2.37;0.322113;
2.38;0.323767;
2.39;0.325426;
2.4;0.327089;
2.41;0.328755;
2.42;0.330426;
2.43;0.3321;
2.44;0.333779;
2.45;0.335461;
2.46;0.337148;
2.47;0.338839;
2.48;0.340534;
2.49;0.342233;
2.5;0.343936;
2.51;0.345644;
2.52;0.347356;
2.53;0.349072;
2.54;0.350793;
2.55;0.352518;
2.56;0.354247;
2.57;0.355981;
2.58;0.35772;
2.59;0.359463;
2.6;0.36121;
2.61;0.362962;
2.62;0.364719;
2.63;0.366481;
2.64;0.368247;
2.65;0.370018;
2.66;0.371794;
2.67;0.373575;
2.68;0.375361;
2.69;0.377152;
2.7;0.378948;
2.71;0.380749;
2.72;0.382555;
2.73;0.384366;
2.74;0.386182;
2.75;0.388004;
2.76;0.389831;
2.77;0.391663;
2.78;0.393501;
2.79;0.395344;
2.8;0.397193;
2.81;0.399047;
2.82;0.400907;
2.83;0.402772;
2.84;0.404644;
2.85;0.406521;
2.86;0.408404;
2.87;0.410293;
2.88;0.412188;
2.89;0.414089;
2.9;0.415996;
2.91;0.417909;
2.92;0.419828;
2.93;0.421754;
2.94;0.423686;
2.95;0.425625;
2.96;0.42757;
2.97;0.429522;
2.98;0.43148;
2.99;0.433445;
3;0.435417;
3.01;0.437396;
3.02;0.439382;
3.03;0.441374;
3.04;0.443374;
3.05;0.445381;
3.06;0.447396;
3.07;0.449418;
3.08;0.451447;
3.09;0.453484;
3.1;0.455528;
3.11;0.45758;
3.12;0.45964;
3.13;0.461708;
3.14;0.463785;
3.15;0.465869;
3.16;0.467961;
3.17;0.470062;
